t,power_W,seed,backend,seq_len,batch_id
476.037221099,69.232,11,eafa,512,4
476.08017468,72.762,11,eafa,512,4
476.123151294,72.762,11,eafa,512,4
476.166134693,67.438,11,eafa,512,4
476.209110055,67.438,11,eafa,512,4
476.257228419,70.058,11,eafa,512,4
476.301323943,70.058,11,eafa,512,4
476.344344882,70.058,11,eafa,512,4
476.387319533,77.011,11,eafa,512,4
476.430523934,77.011,11,eafa,512,4
476.477058721,68.942,11,eafa,512,4
476.520746845,68.942,11,eafa,512,4
476.588354205,40.625,11,eafa,512,5
476.631200691,40.625,11,eafa,512,5
476.675285334,69.232,11,eafa,512,5
476.72497935,69.232,11,eafa,512,5
476.77040682,68.556,11,eafa,512,5
476.81336514,68.556,11,eafa,512,5
476.856364468,68.556,11,eafa,512,5
476.899710208,68.115,11,eafa,512,5
476.946041326,68.115,11,eafa,512,5
476.988955371,69.232,11,eafa,512,5
477.031974337,69.232,11,eafa,512,5
477.075051223,66.816,11,eafa,512,5
477.118026446,66.816,11,eafa,512,5
477.161367026,66.816,11,eafa,512,5
477.211272767,70.831,11,eafa,512,5
477.254578842,70.831,11,eafa,512,5
477.297722065,69.232,11,eafa,512,5
477.363737007,69.232,11,eafa,512,6
477.406557073,60.393,11,eafa,512,6
477.456711008,60.393,11,eafa,512,6
477.500103207,67.535,11,eafa,512,6
477.543907093,67.535,11,eafa,512,6
477.587014889,63.803,11,eafa,512,6
477.630170165,63.803,11,eafa,512,6
477.678886031,69.522,11,eafa,512,6
477.723039927,69.522,11,eafa,512,6
477.781076471,70.831,11,eafa,512,6
477.826774528,70.831,11,eafa,512,6
477.869858418,70.831,11,eafa,512,6
477.912880159,68.985,11,eafa,512,6
477.956032189,68.985,11,eafa,512,6
478.00128754,69.232,11,eafa,512,6
478.044419772,69.232,11,eafa,512,6
478.087493453,65.738,11,eafa,512,6
478.153479376,65.738,11,eafa,512,7
478.196362642,84.47,11,eafa,512,7
478.247646107,84.47,11,eafa,512,7
478.292985909,68.308,11,eafa,512,7
478.33664593,68.308,11,eafa,512,7
478.379674395,68.308,11,eafa,512,7
478.422658143,68.072,11,eafa,512,7
478.469205484,68.072,11,eafa,512,7
478.5122771,69.812,11,eafa,512,7
478.555332566,69.812,11,eafa,512,7
478.598331734,69.425,11,eafa,512,7
478.641301526,69.425,11,eafa,512,7
478.684333326,69.425,11,eafa,512,7
478.727784568,71.507,11,eafa,512,7
478.795191995,69.908,11,eafa,512,7
478.841044308,69.908,11,eafa,512,7
478.884293914,69.908,11,eafa,512,7
478.950223145,50.699,11,eafa,512,8
478.999185193,92.992,11,eafa,512,8
479.048501357,92.992,11,eafa,512,8
479.092332715,92.992,11,eafa,512,8
479.13554498,69.812,11,eafa,512,8
479.184190753,69.812,11,eafa,512,8
479.227391937,67.921,11,eafa,512,8
479.270635021,67.921,11,eafa,512,8
479.313646332,70.392,11,eafa,512,8
479.356649808,70.392,11,eafa,512,8
479.399745972,68.502,11,eafa,512,8
479.451326975,68.502,11,eafa,512,8
479.494414742,68.502,11,eafa,512,8
479.537404082,72.762,11,eafa,512,8
479.580500436,72.762,11,eafa,512,8
479.626824539,69.425,11,eafa,512,8
479.670612806,69.425,11,eafa,512,8
479.736834386,34.996,11,eafa,512,9
479.779728123,34.996,11,eafa,512,9
479.823097228,68.211,11,eafa,512,9
479.874102911,68.211,11,eafa,512,9
479.919715235,68.169,11,eafa,512,9
479.962740633,68.169,11,eafa,512,9
480.005771772,68.169,11,eafa,512,9
480.049212153,69.672,11,eafa,512,9
480.097153118,69.672,11,eafa,512,9
480.140120986,69.715,11,eafa,512,9
480.183090458,69.715,11,eafa,512,9
480.226160561,68.308,11,eafa,512,9
480.26916565,68.308,11,eafa,512,9
480.312220334,70.541,11,eafa,512,9
480.364544799,70.541,11,eafa,512,9
480.407675418,70.541,11,eafa,512,9
480.450819663,69.425,11,eafa,512,9
480.517377774,34.606,11,eafa,512,10
480.566190234,34.606,11,eafa,512,10
480.609499435,34.606,11,eafa,512,10
480.653228148,69.908,11,eafa,512,10
480.697081899,69.908,11,eafa,512,10
480.740118068,67.728,11,eafa,512,10
480.783259328,67.728,11,eafa,512,10
480.829728599,70.058,11,eafa,512,10
480.87289669,70.058,11,eafa,512,10
480.915850912,70.058,11,eafa,512,10
480.958869347,70.734,11,eafa,512,10
481.001927468,70.734,11,eafa,512,10
481.045015035,68.985,11,eafa,512,10
481.089465938,68.985,11,eafa,512,10
481.133248794,69.619,11,eafa,512,10
481.176242572,69.619,11,eafa,512,10
481.219359252,69.619,11,eafa,512,10
481.284572455,69.812,11,eafa,512,11
481.33328395,91.322,11,eafa,512,11
481.383274561,91.322,11,eafa,512,11
481.426493236,91.322,11,eafa,512,11
481.470373316,69.768,11,eafa,512,11
481.518347081,69.768,11,eafa,512,11
481.561352649,70.058,11,eafa,512,11
481.604426127,70.058,11,eafa,512,11
481.64779562,70.444,11,eafa,512,11
481.690763215,70.444,11,eafa,512,11
481.733772441,67.396,11,eafa,512,11
481.78524849,67.396,11,eafa,512,11
481.828378135,67.396,11,eafa,512,11
481.871456763,72.717,11,eafa,512,11
481.914568234,72.717,11,eafa,512,11
481.959044784,69.715,11,eafa,512,11
482.00232155,69.715,11,eafa,512,11
482.068417123,35.678,11,eafa,512,12
482.111204153,35.678,11,eafa,512,12
482.154478815,70.058,11,eafa,512,12
482.197953269,70.058,11,eafa,512,12
482.245501231,68.362,11,eafa,512,12
482.291933098,68.362,11,eafa,512,12
482.334974825,68.362,11,eafa,512,12
482.377970214,72.086,11,eafa,512,12
482.422012013,72.086,11,eafa,512,12
482.472692692,68.695,11,eafa,512,12
482.515792771,68.695,11,eafa,512,12
482.558900715,70.488,11,eafa,512,12
482.602036682,70.488,11,eafa,512,12
482.64502145,69.715,11,eafa,512,12
482.691367864,69.715,11,eafa,512,12
482.734581901,69.715,11,eafa,512,12
482.777698301,69.522,11,eafa,512,12
482.845573663,69.522,11,eafa,512,13
482.888466114,35.678,11,eafa,512,13
482.938095364,35.678,11,eafa,512,13
482.981418299,66.471,11,eafa,512,13
483.025265165,66.471,11,eafa,512,13
483.068632735,70.005,11,eafa,512,13
483.111749836,70.005,11,eafa,512,13
483.160416295,67.589,11,eafa,512,13
483.203460447,67.589,11,eafa,512,13
483.246533224,67.589,11,eafa,512,13
483.289601742,72.472,11,eafa,512,13
483.332589456,72.472,11,eafa,512,13
483.376012502,68.942,11,eafa,512,13
483.425032417,68.942,11,eafa,512,13
483.468178634,69.039,11,eafa,512,13
483.511359827,69.039,11,eafa,512,13
483.554491587,69.039,11,eafa,512,13
483.619374791,70.102,11,eafa,512,14
483.665763186,82.79,11,eafa,512,14
483.712572806,82.79,11,eafa,512,14
483.756655192,82.79,11,eafa,512,14
483.800171917,71.7,11,eafa,512,14
483.843280352,71.7,11,eafa,512,14
483.890660422,68.792,11,eafa,512,14
483.933652895,68.792,11,eafa,512,14
483.97668809,67.051,11,eafa,512,14
484.019749394,67.051,11,eafa,512,14
484.062788386,67.051,11,eafa,512,14
484.105891391,69.135,11,eafa,512,14
484.153899291,69.135,11,eafa,512,14
484.196916912,73.778,11,eafa,512,14
484.240161547,73.778,11,eafa,512,14
484.283376986,69.135,11,eafa,512,14
484.326607955,69.135,11,eafa,512,14
484.394525223,57.91,11,eafa,512,15
484.438853339,57.91,11,eafa,512,15
484.482361567,71.7,11,eafa,512,15
484.525865759,71.7,11,eafa,512,15
484.568905101,71.7,11,eafa,512,15
484.612101444,68.459,11,eafa,512,15
484.660507195,68.459,11,eafa,512,15
484.703512993,67.396,11,eafa,512,15
484.746616448,67.396,11,eafa,512,15
484.789820025,68.942,11,eafa,512,15
484.83284501,68.942,11,eafa,512,15
484.875881858,67.051,11,eafa,512,15
484.925703655,67.051,11,eafa,512,15
484.968739782,67.051,11,eafa,512,15
485.011893593,69.522,11,eafa,512,15
485.055012858,69.522,11,eafa,512,15
485.09820885,69.039,11,eafa,512,15
485.169643825,69.039,11,eafa,512,16
485.212540084,58.904,11,eafa,512,16
485.256991555,58.904,11,eafa,512,16
485.301179113,69.812,11,eafa,512,16
485.345989721,69.812,11,eafa,512,16
485.391649994,66.181,11,eafa,512,16
485.434656744,66.181,11,eafa,512,16
485.47762453,66.181,11,eafa,512,16
485.520710652,72.086,11,eafa,512,16
485.56411354,72.086,11,eafa,512,16
485.608658039,68.652,11,eafa,512,16
485.656500193,68.652,11,eafa,512,16
485.699459001,67.438,11,eafa,512,16
485.742792436,67.438,11,eafa,512,16
485.786016892,68.556,11,eafa,512,16
485.836322415,68.556,11,eafa,512,16
485.879569234,68.556,11,eafa,512,16
485.945979161,66.084,11,eafa,512,17
485.988842698,86.148,11,eafa,512,17
486.040542235,86.148,11,eafa,512,17
486.083851082,86.148,11,eafa,512,17
486.128082203,70.831,11,eafa,512,17
486.171082351,70.831,11,eafa,512,17
486.214572976,68.942,11,eafa,512,17
486.264117674,68.942,11,eafa,512,17
486.307139012,64.964,11,eafa,512,17
486.350137046,64.964,11,eafa,512,17
486.393096145,64.964,11,eafa,512,17
486.436124537,71.261,11,eafa,512,17
486.48356397,71.261,11,eafa,512,17
486.527535906,72.376,11,eafa,512,17
486.570706399,72.376,11,eafa,512,17
486.613824031,69.329,11,eafa,512,17
486.656983614,69.329,11,eafa,512,17
486.721695324,55.001,11,eafa,512,18
486.769370749,55.001,11,eafa,512,18
486.814469098,69.039,11,eafa,512,18
486.857545521,69.039,11,eafa,512,18
486.90081851,69.039,11,eafa,512,18
486.94396109,68.942,11,eafa,512,18
486.992794068,68.942,11,eafa,512,18
487.035718891,67.203,11,eafa,512,18
487.078953277,67.203,11,eafa,512,18
487.122121826,68.266,11,eafa,512,18
487.165136973,68.266,11,eafa,512,18
487.208153842,66.664,11,eafa,512,18
487.257235575,66.664,11,eafa,512,18
487.300286751,66.664,11,eafa,512,18
487.343440592,69.479,11,eafa,512,18
487.386570918,69.479,11,eafa,512,18
487.429684543,69.329,11,eafa,512,18
487.496741075,69.329,11,eafa,512,19
487.541875673,63.028,11,eafa,512,19
487.584888585,63.028,11,eafa,512,19
487.629139734,67.728,11,eafa,512,19
487.672705864,67.728,11,eafa,512,19
487.715760415,67.921,11,eafa,512,19
487.763662012,67.921,11,eafa,512,19
487.806818198,67.921,11,eafa,512,19
487.849860386,72.427,11,eafa,512,19
487.893200884,72.427,11,eafa,512,19
487.93626269,68.652,11,eafa,512,19
487.979392566,68.652,11,eafa,512,19
488.027017644,66.222,11,eafa,512,19
488.070088607,66.222,11,eafa,512,19
488.113231908,66.222,11,eafa,512,19
488.156419715,68.749,11,eafa,512,19
488.199678828,68.749,11,eafa,512,19
490.400196795,65.214,11,math,512,0
490.443657647,65.214,11,math,512,0
490.487669171,65.891,11,math,512,0
490.632095542,65.891,11,math,512,0
490.676405557,64.093,11,math,512,0
490.719393114,64.093,11,math,512,0
490.768108309,71.507,11,math,512,0
490.811420527,71.507,11,math,512,0
490.854547771,71.507,11,math,512,0
490.897642212,67.921,11,math,512,0
490.940695875,67.921,11,math,512,0
490.983718639,71.893,11,math,512,0
491.027093707,71.893,11,math,512,0
491.070646604,68.652,11,math,512,0
491.113757987,68.652,11,math,512,0
491.318275421,39.239,11,math,512,1
491.361192543,39.239,11,math,512,1
491.404120826,96.325,11,math,512,1
491.4481004,96.325,11,math,512,1
491.496967386,67.299,11,math,512,1
491.540725646,67.299,11,math,512,1
491.583911351,70.979,11,math,512,1
491.627054585,70.979,11,math,512,1
491.670087589,65.214,11,math,512,1
491.719546577,65.214,11,math,512,1
491.762557378,65.214,11,math,512,1
491.805901016,71.41,11,math,512,1
491.849043508,71.41,11,math,512,1
491.892128742,71.558,11,math,512,1
491.935264061,71.558,11,math,512,1
491.980381379,68.652,11,math,512,1
492.023571964,68.652,11,math,512,1
492.06665336,68.652,11,math,512,1
492.132643279,48.884,11,math,512,2
492.175538209,88.689,11,math,512,2
492.218946189,88.689,11,math,512,2
492.268102258,88.689,11,math,512,2
492.312294558,69.961,11,math,512,2
492.355522525,69.961,11,math,512,2
492.398625232,68.266,11,math,512,2
492.441726776,68.266,11,math,512,2
492.490308768,68.115,11,math,512,2
492.533286155,68.115,11,math,512,2
492.59339956,69.812,11,math,512,2
492.643288099,69.812,11,math,512,2
492.686353956,71.7,11,math,512,2
492.734997334,71.7,11,math,512,2
492.778091765,71.7,11,math,512,2
492.821234789,68.749,11,math,512,2
492.864465491,68.749,11,math,512,2
492.930282258,55.132,11,math,512,3
492.976760468,55.132,11,math,512,3
493.024444593,79.469,11,math,512,3
493.067518886,79.469,11,math,512,3
493.110892721,68.749,11,math,512,3
493.160772643,68.749,11,math,512,3
493.203790398,64.343,11,math,512,3
493.246939162,64.343,11,math,512,3
493.289917492,64.343,11,math,512,3
493.333056187,70.637,11,math,512,3
493.376238286,70.637,11,math,512,3
493.424260247,66.858,11,math,512,3
493.467278773,66.858,11,math,512,3
493.510582013,72.666,11,math,512,3
493.553746588,72.666,11,math,512,3
493.596946641,68.845,11,math,512,3
493.643557204,68.845,11,math,512,3
493.711956659,39.628,11,math,512,4
493.754884612,39.628,11,math,512,4
493.79870447,66.858,11,math,512,4
493.850656494,66.858,11,math,512,4
493.895054386,66.858,11,math,512,4
493.93839076,70.927,11,math,512,4
493.981765798,70.927,11,math,512,4
494.024841152,67.106,11,math,512,4
494.073057374,67.106,11,math,512,4
494.116270342,70.058,11,math,512,4
494.159508427,70.058,11,math,512,4
494.202523447,66.858,11,math,512,4
494.24639341,66.858,11,math,512,4
494.295500145,66.858,11,math,512,4
494.338681802,69.329,11,math,512,4
494.381797063,69.329,11,math,512,4
494.424980314,69.039,11,math,512,4
494.490916471,69.039,11,math,512,5
494.538916149,64.15,11,math,512,5
494.585485593,64.15,11,math,512,5
494.629474293,68.362,11,math,512,5
494.673200232,68.362,11,math,512,5
494.718887459,65.351,11,math,512,5
494.763356047,65.351,11,math,512,5
494.806338434,65.351,11,math,512,5
494.849467361,72.472,11,math,512,5
494.892524811,72.472,11,math,512,5
494.935684607,67.438,11,math,512,5
494.984488312,67.438,11,math,512,5
495.027482492,68.598,11,math,512,5
495.070531486,68.598,11,math,512,5
495.113713835,68.942,11,math,512,5
495.157818016,68.942,11,math,512,5
495.202771852,68.942,11,math,512,5
495.269350106,68.072,11,math,512,6
495.312252229,68.072,11,math,512,6
495.355554688,88.208,11,math,512,6
495.399237704,88.208,11,math,512,6
495.442423099,68.266,11,math,512,6
495.491518351,68.266,11,math,512,6
495.534838324,68.942,11,math,512,6
495.578220234,68.942,11,math,512,6
495.621236466,68.362,11,math,512,6
495.664746582,68.362,11,math,512,6
495.714282847,68.362,11,math,512,6
495.757631634,71.99,11,math,512,6
495.801357723,71.99,11,math,512,6
495.844445762,71.41,11,math,512,6
495.887656605,71.41,11,math,512,6
495.932732685,68.996,11,math,512,6
495.976028851,68.996,11,math,512,6
496.042537061,44.663,11,math,512,7
496.085416741,44.663,11,math,512,7
496.128313274,69.715,11,math,512,7
496.173087687,69.715,11,math,512,7
496.221545601,69.715,11,math,512,7
496.264530312,71.313,11,math,512,7
496.30753448,71.313,11,math,512,7
496.350559239,68.266,11,math,512,7
496.394031502,68.266,11,math,512,7
496.444015223,66.567,11,math,512,7
496.487117028,66.567,11,math,512,7
496.530471827,66.567,11,math,512,7
496.573490413,68.845,11,math,512,7
496.616662322,68.845,11,math,512,7
496.666507698,69.715,11,math,512,7
496.70962319,69.715,11,math,512,7
496.752792333,69.039,11,math,512,7
496.819506457,69.039,11,math,512,8
496.868012604,68.556,11,math,512,8
496.913607204,68.556,11,math,512,8
496.956706855,69.232,11,math,512,8
497.00089141,69.232,11,math,512,8
497.044244886,65.891,11,math,512,8
497.092845664,65.891,11,math,512,8
497.13619923,65.891,11,math,512,8
497.179225481,72.279,11,math,512,8
497.22266963,72.279,11,math,512,8
497.26570125,67.782,11,math,512,8
497.315473596,67.782,11,math,512,8
497.358476782,69.522,11,math,512,8
497.40172154,69.522,11,math,512,8
497.444890322,69.092,11,math,512,8
497.48799435,69.092,11,math,512,8
497.532979685,69.092,11,math,512,8
497.598311084,69.619,11,math,512,9
497.641411786,69.619,11,math,512,9
497.684530704,87.398,11,math,512,9
497.727967799,87.398,11,math,512,9
497.771174434,68.556,11,math,512,9
497.814810469,68.556,11,math,512,9
497.862059081,67.148,11,math,512,9
497.905235428,67.148,11,math,512,9
497.948312876,67.148,11,math,512,9
497.991395974,67.879,11,math,512,9
498.034463573,67.879,11,math,512,9
498.07750404,71.165,11,math,512,9
498.125967634,71.165,11,math,512,9
498.168969658,71.217,11,math,512,9
498.212216239,71.217,11,math,512,9
498.255311501,69.232,11,math,512,9
498.298392055,69.232,11,math,512,9
498.343137832,69.232,11,math,512,9
498.413263796,45.511,11,math,512,10
498.456054395,94.947,11,math,512,10
498.499474428,94.947,11,math,512,10
498.545673263,94.947,11,math,512,10
498.591913597,67.203,11,math,512,10
498.634954956,67.203,11,math,512,10
498.678317548,70.251,11,math,512,10
498.72159601,70.251,11,math,512,10
498.764728503,64.48,11,math,512,10
498.813469387,64.48,11,math,512,10
498.856448968,64.48,11,math,512,10
498.899422577,70.26,11,math,512,10
498.942504844,70.26,11,math,512,10
498.985649611,72.137,11,math,512,10
499.02933979,72.137,11,math,512,10
499.07247105,69.329,11,math,512,10
499.11563308,69.329,11,math,512,10
499.158743491,69.329,11,math,512,10
499.225868438,60.453,11,math,512,11
499.268767515,88.208,11,math,512,11
499.319857419,88.208,11,math,512,11
499.365013751,69.865,11,math,512,11
499.410670239,69.865,11,math,512,11
499.453792142,69.865,11,math,512,11
499.499133277,67.148,11,math,512,11
499.543125273,67.148,11,math,512,11
499.586115143,71.603,11,math,512,11
499.629255271,71.603,11,math,512,11
499.672677378,64.73,11,math,512,11
499.715688939,64.73,11,math,512,11
499.765015323,64.73,11,math,512,11
499.808015463,72.279,11,math,512,11
499.851192311,72.279,11,math,512,11
499.894329853,68.749,11,math,512,11
499.937537189,68.749,11,math,512,11
499.984338506,61.325,11,math,512,11
500.050144452,61.325,11,math,512,12
500.092924752,94.18,11,math,512,12
500.136216249,94.18,11,math,512,12
500.180263692,67.879,11,math,512,12
500.228502456,67.879,11,math,512,12
500.272629019,67.879,11,math,512,12
500.315656902,70.444,11,math,512,12
500.358800166,70.444,11,math,512,12
500.401816687,68.899,11,math,512,12
500.445021689,68.899,11,math,512,12
500.495566021,66.526,11,math,512,12
500.538742708,66.526,11,math,512,12
500.58202135,70.155,11,math,512,12
500.626302209,70.155,11,math,512,12
500.669471923,70.155,11,math,512,12
500.715259772,68.749,11,math,512,12
500.75886579,68.749,11,math,512,12
500.824733283,62.39,11,math,512,13
500.867612211,62.39,11,math,512,13
500.911291139,76.047,11,math,512,13
500.961908139,76.047,11,math,512,13
501.006851644,69.425,11,math,512,13
501.049910166,69.425,11,math,512,13
501.093016359,64.633,11,math,512,13
501.135984598,64.633,11,math,512,13
501.185281144,64.633,11,math,512,13
501.228414989,69.725,11,math,512,13
501.271581287,69.725,11,math,512,13
501.314915927,68.556,11,math,512,13
501.359509844,68.556,11,math,512,13
501.407895378,72.376,11,math,512,13
501.451034064,72.376,11,math,512,13
501.49428851,68.845,11,math,512,13
501.538417839,68.845,11,math,512,13
501.581636065,68.845,11,math,512,13
501.65313336,44.831,11,math,512,14
501.695962303,44.831,11,math,512,14
501.739098984,94.24,11,math,512,14
501.7822275,94.24,11,math,512,14
501.826171023,66.954,11,math,512,14
501.878052511,66.954,11,math,512,14
501.921096244,70.734,11,math,512,14
501.96410471,70.734,11,math,512,14
502.007488143,66.277,11,math,512,14
502.054687741,66.277,11,math,512,14
502.098971605,66.277,11,math,512,14
502.141975732,71.507,11,math,512,14
502.184989068,71.507,11,math,512,14
502.228190703,70.444,11,math,512,14
502.271815206,70.444,11,math,512,14
502.31568535,69.039,11,math,512,14
502.358766394,69.039,11,math,512,14
502.40198413,69.039,11,math,512,14
502.468983869,60.453,11,math,512,15
502.511776102,89.073,11,math,512,15
502.554950605,89.073,11,math,512,15
502.604369736,89.073,11,math,512,15
502.647640694,70.198,11,math,512,15
502.690781823,70.198,11,math,512,15
502.733907573,68.072,11,math,512,15
502.778619646,68.072,11,math,512,15
502.827007245,70.444,11,math,512,15
502.869996173,70.444,11,math,512,15
502.913313289,64.593,11,math,512,15
502.958451607,64.593,11,math,512,15
503.010090922,64.593,11,math,512,15
503.053107313,71.076,11,math,512,15
503.096303908,71.076,11,math,512,15
503.139453504,68.556,11,math,512,15
503.182637134,68.556,11,math,512,15
503.229036412,62.545,11,math,512,15
503.294883827,62.545,11,math,512,16
503.337687482,98.434,11,math,512,16
503.38062887,98.434,11,math,512,16
503.423839101,67.589,11,math,512,16
503.468420314,67.589,11,math,512,16
503.516786171,67.589,11,math,512,16
503.559977757,70.541,11,math,512,16
503.603014717,70.541,11,math,512,16
503.646392189,68.211,11,math,512,16
503.690023084,68.211,11,math,512,16
503.739535994,68.845,11,math,512,16
503.782612741,68.845,11,math,512,16
503.825645393,66.623,11,math,512,16
503.869825629,66.623,11,math,512,16
503.913019299,66.623,11,math,512,16
503.957468289,68.845,11,math,512,16
504.000701134,68.845,11,math,512,16
504.043817806,64.77,11,math,512,16
504.110955036,64.77,11,math,512,17
504.153734675,80.093,11,math,512,17
504.197887598,80.093,11,math,512,17
504.247216166,68.556,11,math,512,17
504.291135994,68.556,11,math,512,17
504.334174728,64.19,11,math,512,17
504.377247237,64.19,11,math,512,17
504.421084106,64.19,11,math,512,17
504.469106907,71.507,11,math,512,17
504.512556978,71.507,11,math,512,17
504.556872632,67.879,11,math,512,17
504.601994228,67.879,11,math,512,17
504.65125734,70.4,11,math,512,17
504.694232502,70.4,11,math,512,17
504.737408409,69.135,11,math,512,17
504.780785679,69.135,11,math,512,17
504.823924204,69.135,11,math,512,17
504.868309282,69.232,11,math,512,17
504.940068177,37.021,11,math,512,18
504.982761801,37.021,11,math,512,18
505.025674194,37.021,11,math,512,18
505.076576009,67.396,11,math,512,18
505.125241779,67.396,11,math,512,18
505.168560709,66.664,11,math,512,18
505.218560109,66.664,11,math,512,18
505.262021271,71.751,11,math,512,18
505.305037452,71.751,11,math,512,18
505.348121995,64.247,11,math,512,18
505.391141012,64.247,11,math,512,18
505.434220615,64.247,11,math,512,18
505.481751917,71.41,11,math,512,18
505.525529635,71.41,11,math,512,18
505.568719148,68.942,11,math,512,18
505.612247558,68.942,11,math,512,18
505.655477198,69.092,11,math,512,18
505.699637066,69.092,11,math,512,18
505.769902789,32.968,11,math,512,19
505.812999865,32.968,11,math,512,19
505.85741988,66.761,11,math,512,19
505.908170287,66.761,11,math,512,19
505.954168158,70.541,11,math,512,19
505.997548646,70.541,11,math,512,19
506.040925397,70.541,11,math,512,19
506.090778628,68.556,11,math,512,19
506.134112117,68.556,11,math,512,19
506.177132306,70.392,11,math,512,19
506.220203142,70.392,11,math,512,19
506.263352608,66.567,11,math,512,19
506.313058368,66.567,11,math,512,19
506.356064901,66.567,11,math,512,19
506.399290683,69.908,11,math,512,19
506.442525103,69.908,11,math,512,19
506.485806832,68.845,11,math,512,19
506.530455083,68.845,11,math,512,19
508.758022616,62.099,11,mem_efficient,512,0
508.808665136,83.079,11,mem_efficient,512,0
508.8544969,83.079,11,mem_efficient,512,0
508.898743924,69.039,11,mem_efficient,512,0
508.942182744,69.039,11,mem_efficient,512,0
508.985293055,69.039,11,mem_efficient,512,0
509.030440571,69.232,11,mem_efficient,512,0
509.07453787,69.232,11,mem_efficient,512,0
509.117524134,69.135,11,mem_efficient,512,0
509.160563129,69.135,11,mem_efficient,512,0
509.203616592,67.921,11,mem_efficient,512,0
509.24745774,67.921,11,mem_efficient,512,0
