t,power_W,seed,backend,seq_len,batch_id
326.2619146,63.649,11,eafa,512,0
326.305505256,63.649,11,eafa,512,0
326.357159843,92.342,11,eafa,512,0
326.402673538,92.342,11,eafa,512,0
326.447080848,72.035,11,eafa,512,0
326.490073271,72.035,11,eafa,512,0
326.533232063,72.035,11,eafa,512,0
326.576411196,67.244,11,eafa,512,0
326.619602491,67.244,11,eafa,512,0
326.662782305,69.275,11,eafa,512,0
326.705828541,69.275,11,eafa,512,0
326.748863014,70.242,11,eafa,512,0
326.79189919,70.242,11,eafa,512,0
326.835037874,70.242,11,eafa,512,0
326.879597439,70.242,11,eafa,512,0
326.924712254,70.242,11,eafa,512,0
326.967858322,70.049,11,eafa,512,0
327.15639021,37.14,11,eafa,512,1
327.199262992,37.14,11,eafa,512,1
327.252962984,66.899,11,eafa,512,1
327.296278519,66.899,11,eafa,512,1
327.339397765,66.899,11,eafa,512,1
327.38253635,73.194,11,eafa,512,1
327.431549012,73.194,11,eafa,512,1
327.474896458,69.609,11,eafa,512,1
327.517964927,69.609,11,eafa,512,1
327.561095406,72.518,11,eafa,512,1
327.60417186,72.518,11,eafa,512,1
327.647233205,72.518,11,eafa,512,1
327.695758708,70.585,11,eafa,512,1
327.738930345,70.585,11,eafa,512,1
327.782130117,69.855,11,eafa,512,1
327.825213655,69.855,11,eafa,512,1
327.868368651,70.392,11,eafa,512,1
327.944925599,70.392,11,eafa,512,2
327.987784052,59.521,11,eafa,512,2
328.031174862,65.198,11,eafa,512,2
328.136318385,65.198,11,eafa,512,2
328.182408351,71.841,11,eafa,512,2
328.226362678,71.841,11,eafa,512,2
328.26953137,67.631,11,eafa,512,2
328.312543991,67.631,11,eafa,512,2
328.355637388,67.631,11,eafa,512,2
328.399092913,69.609,11,eafa,512,2
328.444727971,69.609,11,eafa,512,2
328.489099513,73.098,11,eafa,512,2
328.532177159,73.098,11,eafa,512,2
328.57545933,68.792,11,eafa,512,2
328.618532689,68.792,11,eafa,512,2
328.661717361,68.792,11,eafa,512,2
328.734518986,55.811,11,eafa,512,3
328.777385495,109.726,11,eafa,512,3
328.82060782,67.964,11,eafa,512,3
328.970008864,67.964,11,eafa,512,3
329.015236347,67.48,11,eafa,512,3
329.058331036,67.48,11,eafa,512,3
329.101411808,72.324,11,eafa,512,3
329.144470739,72.324,11,eafa,512,3
329.187557593,68.598,11,eafa,512,3
329.230585173,68.598,11,eafa,512,3
329.27371012,68.598,11,eafa,512,3
329.323326066,72.904,11,eafa,512,3
329.366424533,72.904,11,eafa,512,3
329.409852254,70.295,11,eafa,512,3
329.453088988,70.295,11,eafa,512,3
329.520440147,31.523,11,eafa,512,4
329.566570029,31.523,11,eafa,512,4
329.613451852,80.148,11,eafa,512,4
329.657190343,80.148,11,eafa,512,4
329.701560702,66.996,11,eafa,512,4
329.74734566,66.996,11,eafa,512,4
329.790365023,69.082,11,eafa,512,4
329.833483802,69.082,11,eafa,512,4
329.876670672,69.082,11,eafa,512,4
