seed,backend,seq_len,batch_id,batch_size,tokens,time_s,tokens_per_s,energy_j,energy_per_1k_tokens,mean_power_w,vram_peak_gb,loss,ppl
11,eafa,512,0,21,10752,0.732601131000024,14676.472018713888,32.90168157938943,3.0600522302259514,46.150114336643746,14.080078125,3.68119740486145,39.693895290993474
11,eafa,512,1,21,10752,0.7325488409999821,14677.519638585112,29.433580337303667,2.737498171252201,40.68099668958491,14.080078125,3.5949149131774902,36.412601623494474
11,eafa,512,2,21,10752,0.7289761110000086,14749.454526363585,30.511695817907707,2.837769328302428,42.91229816017315,14.080078125,3.703113317489624,40.5734258864447
11,eafa,512,3,21,10752,0.7240623989999904,14849.548899169038,32.87887378956034,3.057930970011192,45.79617316017315,14.080078125,3.5724477767944336,35.60363633183995
11,eafa,512,4,21,10752,0.7287698029999774,14753.629960708366,29.217831129010406,2.71743221065945,40.19552610134962,14.080078125,3.7888805866241455,44.20688678774816
11,eafa,512,5,21,10752,0.726767934999998,14794.268544607748,26.360271008645014,2.4516621101790377,37.028996689584915,14.080078125,3.2107675075531006,24.798111660572967
11,eafa,512,6,21,10752,0.7251212440000359,14827.86511768433,34.934951717161056,3.2491584558371516,48.82182021899669,14.080078125,3.319300889968872,27.64101968796687
11,eafa,512,7,21,10752,0.7360336680000046,14608.027414311071,28.013927056459366,2.605461965816533,38.873290807231974,14.080078125,3.624535083770752,37.5072813616077
11,eafa,512,8,21,10752,0.73693678799998,14590.125198092692,28.92286058342902,2.6899981941433238,41.087231983702566,14.080078125,3.723695993423462,41.41718922880263
11,eafa,512,9,21,10752,0.7370678510000062,14587.530829641233,31.506962485726604,2.9303350526159413,44.037173160173154,14.080078125,3.560335159301758,35.17498439290187
11,eafa,512,10,21,10752,0.7336617689999798,14655.254579580384,28.58403560068409,2.6584854539326717,39.3549378660555,14.080078125,3.504603624343872,33.2682545123992
11,eafa,512,11,21,10752,0.7300444389999825,14727.870559123947,31.918476026412343,2.9686082613850764,44.78576139546727,14.080078125,3.5340542793273926,34.26259654153047
11,eafa,512,12,21,10752,0.7377353370000037,14574.332366567858,35.38887798586972,3.291376300769133,48.19711433664374,14.080078125,3.270962953567505,26.336688144252708
11,eafa,512,13,21,10752,0.7396453069999893,14536.697384872552,27.99554587740714,2.603752406752896,38.69182021899668,14.080078125,3.5664539337158203,35.39087199763817
11,eafa,512,14,21,10752,0.7406933209999806,14516.129273967466,29.637140512059837,2.7564304791722316,41.93834963076139,14.080078125,3.5058555603027344,33.30993031878882
11,eafa,512,15,21,10752,0.7412265860000389,14505.685849750991,31.84768000899823,2.962023810360698,44.97950649350648,14.080078125,3.4170143604278564,30.47828187892088
11,eafa,512,16,21,10752,0.7385005410000076,14559.231040563163,28.402897232551247,2.6416385074917454,39.6328790425261,14.080078125,3.8190653324127197,45.561603459280896
11,eafa,512,17,21,10752,0.7416503030000285,14497.398513163671,34.010798978587665,3.163206750240668,46.4074084542908,14.080078125,3.7523508071899414,42.62115844948338
11,eafa,512,18,21,10752,0.7403522310000312,14522.81704544434,34.803261643007744,3.2369104950714047,48.402879042526095,14.080078125,3.483201026916504,32.56379299797815
11,eafa,512,19,21,10752,0.737068101000034,14587.525881817404,28.64007842869978,2.663697770526393,39.501173160173146,14.080078125,3.5193846225738525,33.763644684807716
11,math,512,0,21,10752,0.7349289670000303,14629.985322104683,30.67742862382878,2.853183465757885,43.20687904252609,14.638671875,3.68119740486145,39.693895290993474
11,math,512,1,21,10752,0.7393432970000049,14542.635394988816,30.793979999439813,2.8640234374478992,42.879643748408455,14.638671875,3.5949149131774902,36.412601623494474
11,math,512,2,21,10752,0.7373024339999574,14582.889604295842,31.58290067952864,2.9373977566525893,44.80870257193786,14.638671875,3.703113317489624,40.5734258864447
11,math,512,3,21,10752,0.7400034319999804,14529.662343512326,26.47987769404354,2.4627862438656565,36.81146727782021,14.638671875,3.5724477767944336,35.60363633183995
11,math,512,4,21,10752,0.7377660070000047,14573.726490491355,33.78781977271852,3.14246835683766,47.46470257193785,14.638671875,3.7888805866241455,44.20688678774816
